***********数字：***********
白黑分明, 黑白分明
气血方刚, 血气方刚
博洽多闻, 洽博多闻
崎嵚历落, 嵚崎历落
心甘情原, 甘心情原
发奋图强, 奋发图强
背腹受敌, 腹背受敌
奇离古怪, 离奇古怪
叶落归根, 落叶归根
叶落知秋, 落叶知秋
名扬四海, 扬名四海
名垂竹帛, 垂名竹帛
吹大法螺, 大吹法螺
器小易盈, 小器易盈
墙面而立, 面墙而立
神龙马壮, 龙神马壮
泄漏天机, 漏泄天机
如弃敝屣, 弃如敝屣
瘦骨如柴, 骨瘦如柴
鱼鲁帝虎, 鲁鱼帝虎
微显阐幽, 显微阐幽
旗鼓相当, 鼓旗相当
心甘情愿, 甘心情愿
恭敬桑梓, 敬恭桑梓
蚌鹬相持, 鹬蚌相持
趾踵相接, 踵趾相接
横蛮无理, 蛮横无理
民生涂炭, 生民涂炭
神鬼莫测, 鬼神莫测
飞鸿雪爪, 鸿飞雪爪
甜酸苦辣, 酸甜苦辣
议论风生, 论议风生
***********一四交换：***********
书不释手, 手不释书
人不犯我, 我不犯人
信言不美, 美言不信
口不应心, 心不应口
善者不来, 来者不善
瑕不掩瑜, 瑜不掩瑕
瑕不揜瑜, 瑜不揜瑕
画中有诗, 诗中有画
供过于求, 求过于供
用人勿疑, 疑人勿用
会逢其适, 适逢其会
学非所用, 用非所学
策无遗算, 算无遗策
***********二三交换：***********
席丰履厚, 席履丰厚
颠乾倒坤, 颠倒乾坤
旋乾转坤, 旋转乾坤
匪伊朝夕, 匪朝伊夕
赏信罚明, 赏罚信明
言信行果, 言行信果
倚傍门户, 倚门傍户
出入将相, 出将入相
颐养精神, 颐精养神
分别门户, 分门别户
德容言功, 德言容功
献可替否, 献替可否
左右图史, 左图右史
遥呼相应, 遥相呼应
天地诛灭, 天诛地灭
旋干转坤, 旋转干坤
舞弄文墨, 舞文弄墨
规矩绳墨, 规绳矩墨
改头换面, 改换头面
河海清宴, 河清海宴
跋山涉川, 跋涉山川
黜幽陟明, 黜陟幽明
锦心绣肠, 锦绣心肠
飞流短长, 飞短流长
进荣退辱, 进退荣辱
***********前后交换：***********
一丁不识, 不识一丁
一钱不值, 不值一钱
一文不名, 不名一文
一钱不名, 不名一钱
一字不易, 不易一字
一尘不染, 不染一尘
一毛不拔, 不拔一毛
一匡九合, 九合一匡
一生九死, 九死一生
一片冰心, 冰心一片
一刻千金, 千金一刻
劝百讽一, 讽一劝百
一暴十寒, 十寒一暴
一发千钧, 千钧一发
一壸千金, 千金一壸
一掷千金, 千金一掷
一时千载, 千载一时
一笑千金, 千金一笑
一诺千金, 千金一诺
一知半解, 半解一知
一意孤行, 孤行一意
一筹莫展, 莫展一筹
一往情深, 情深一往
一斑窥豹, 窥豹一斑
一致百虑, 百虑一致
孤苦零丁, 零丁孤苦
万缕千丝, 千丝万缕
万代千秋, 千秋万代
万别千差, 千差万别
万古千秋, 千秋万古
万壑千岩, 千岩万壑
